hmdbId,kingdom,superClass,class,subClass
HMDB11737,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB11738,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB11170,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB11171,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00594,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB11172,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01492,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids
HMDB00663,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB00625,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB00122,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB03345,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB01586,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB01401,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00127,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB03339,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00148,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00641,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00661,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB13130,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB03337,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00125,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00139,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB00131,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB02520,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates
HMDB00126,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates
HMDB00114,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,NA
HMDB00086,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
HMDB00123,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
