,Entrez,GeneName
1185,57194,ATP10A
1186,5723,PSPH
1187,5728,PTEN
1188,57282,SLC4A10
1189,5730,PTGDS
1190,57379,AICDA
1191,57393,TMEM27
1192,5740,PTGIS
1193,57419,SLC24A3
1194,5742,PTGS1
1195,5743,PTGS2
1196,57468,SLC12A5
1197,57486,NLN
1198,57571,CARNS1
1199,57665,RDH14
1200,57678,GPAM
1201,57733,GBA3
1202,57818,G6PC2
1203,57834,CYP4F11
1204,57835,SLC4A5
1205,5805,PTS
1206,5825,ABCD3
1207,5831,PYCR1
1208,5832,ALDH18A1
1209,5833,PCYT2
1210,5834,PYGB
1211,5836,PYGL
1212,5837,PYGM
1213,58508,KMT2C
1214,58510,PRODH2
1215,586,BCAT1
1216,5860,QDPR
1217,587,BCAT2
1218,59272,ACE2
1219,593,BCKDHA
1220,594,BCKDHB
1221,5947,RBP1
1222,5948,RBP2
1223,5950,RBP4
1224,5959,RDH5
1225,5973,RENBP
1226,6005,RHAG
1227,60386,SLC25A19
1228,60481,ELOVL5
1229,60482,SLC5A7
1230,60490,PPCDC
1231,60496,AASDHPPT
1232,60559,SPCS3
1233,6120,RPE
1234,6184,RPN1
1235,6185,RPN2
1236,622,BDH1
1237,6240,RRM1
1238,6241,RRM2
1239,6303,SAT1
1240,6307,MSMO1
1241,6309,SC5D
1242,6319,SCD
1243,6342,SCP2
1244,635,BHMT
1245,6389,SDHA
1246,6390,SDHB
1247,6391,SDHC
1248,63917,GALNT11
1249,6392,SDHD
1250,64064,OXCT2
1251,64077,LHPP
1252,64078,SLC28A3
1253,64080,RBKS
1254,64087,MCCC2
1255,64131,XYLT1
1256,64132,XYLT2
1257,641371,ACOT1
1258,641372,ACOT6
1259,641649,TMEM91
1260,64220,STRA6
1261,64240,ABCG5
1262,64241,ABCG8
1263,644,BLVRA
1264,6448,SGSH
1265,64499,TPSB2
1266,645,BLVRB
1267,645740,NOS2P1
1268,64579,NDST4
1269,64600,PLA2G2F
1270,6470,SHMT1
1271,64711,HS3ST6
